FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,etablissement_nom,geometry
_mview_educ_bibliotheques.fid--830921d_193db4998a0_-2a76,Kara,Kéran,Kéran 1,Kantè,Bibliotheque Ceg Kande -ville I,"MULTIPOLYGON (((1.037406626816029 9.96533977834918, 1.0372364635434237 9.965416548099913, 1.0371837678202942 9.965318153064022, 1.0373758876442036 9.965237058231907, 1.037406626816029 9.96533977834918)))"
_mview_educ_bibliotheques.fid--830921d_193db4998a0_-2a75,Kara,Kozah,Kozah 1,Lassa,Bibliothèque Du Lycée Des Montagnes,"MULTIPOLYGON (((1.2018969215773545 9.650007081188152, 1.2020878311730876 9.650066657893696, 1.202119420530655 9.649991510002009, 1.2019079091799867 9.64993870336539, 1.2018969215773545 9.650007081188152)))"
_mview_educ_bibliotheques.fid--830921d_193db4998a0_-2a74,Kara,Kozah,Kozah 1,Commune De Kara,Bibliothèque Du College Chaminade Zurflu,"MULTIPOLYGON (((1.19200194413624 9.556745902221468, 1.1923515785161194 9.556763072641008, 1.1923592398272322 9.556655929208913, 1.1920040335847253 9.556637385149935, 1.19200194413624 9.556745902221468)))"
_mview_educ_bibliotheques.fid--830921d_193db4998a0_-2a73,Savanes,Oti,Oti 2,Nagbéni,Bibliothèque Gbantchal,"MULTIPOLYGON (((0.5755805720999074 10.668355328295121, 0.5754807537756846 10.668338081176646, 0.5755147578202001 10.668180701175363, 0.5756068978117903 10.668193636521005, 0.5755805720999074 10.668355328295121)))"
_mview_educ_bibliotheques.fid--830921d_193db4998a0_-2a72,Savanes,Tône,Tône 1,Dapaong,Bibliothèque Scolaire De Lycée Nassable,"MULTIPOLYGON (((0.1994707491491882 10.879852876802193, 0.1995525145679976 10.879803604438473, 0.1995041986387012 10.879752507163788, 0.1994363705071888 10.879806341792225, 0.1994707491491882 10.879852876802193)))"
_mview_educ_bibliotheques.fid--830921d_193db4998a0_-2a71,Savanes,Tône,Tône 1,Dapaong,Bibliothèque du CS St Bonaventure - Don Peppe,"MULTIPOLYGON (((0.233030626718937 10.845930489889813, 0.233093806230668 10.84594456866934, 0.2331304397290667 10.845815252447322, 0.2330561108917361 10.845804823717302, 0.233030626718937 10.845930489889813)))"
_mview_educ_bibliotheques.fid--830921d_193db4998a0_-2a70,Savanes,Tône,Tône 1,Dapaong,Bibliothèque Ephg Sos,"MULTIPOLYGON (((0.1861205768377167 10.890474138390221, 0.1861313325911799 10.89039756356265, 0.1862214120264338 10.890417367399255, 0.1862079673346048 10.890488661200127, 0.1861205768377167 10.890474138390221)))"
_mview_educ_bibliotheques.fid--830921d_193db4998a0_-2a6f,Savanes,Tône,Tône 3,Nioukpourma,Bibliothèque du CS Yenyane,"MULTIPOLYGON (((0.14144 10.84044833333332, 0.1414386866292166 10.840383963756878, 0.1414644615308407 10.840388478524426, 0.1414675807864512 10.840448621671355, 0.14144 10.84044833333332)))"
_mview_educ_bibliotheques.fid--830921d_193db4998a0_-2a6e,Maritime,Avé,Avé 1,Kévé,Bibliotheque De Yometchin,"MULTIPOLYGON (((1.005280451790448 6.48002736830102, 1.0053275986455568 6.480055033051806, 1.005356183746686 6.47996244834655, 1.0053146054177708 6.4799381033614685, 1.005280451790448 6.48002736830102)))"
_mview_educ_bibliotheques.fid--830921d_193db4998a0_-2a6d,Maritime,Golfe,Golfe 4,Amoutivé,Bibliothèque du CS La Providence,"MULTIPOLYGON (((1.2231248617719883 6.132206193116321, 1.223135813581209 6.132212614918903, 1.2231450804967035 6.132196141599077, 1.2231349711343458 6.132190557422748, 1.2231248617719883 6.132206193116321)))"
_mview_educ_bibliotheques.fid--830921d_193db4998a0_-2a6c,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Bibliothèque du CS Wonyome,"MULTIPOLYGON (((1.1512267337651374 6.192057326983806, 1.1512527544635318 6.192194432092085, 1.1515597987045867 6.192098717208924, 1.1515363800760317 6.191935743178764, 1.1512267337651374 6.192057326983806)))"
