No.,Nom du champ,Question,Description,Type du champ
1,region_nom_bdd,,xsd:string,string
2,prefecture_nom_bdd,,xsd:string,string
3,commune_nom_bdd,,xsd:string,string
4,canton_nom_bdd,,xsd:string,string
5,id,,xsd:int,int
6,canton_id_bdd,ID du canton,xsd:string,string
7,etab_id_bdd,ID de l'établissement,xsd:int,int
8,etablissement_nom,Nom de l'établissement,xsd:string,string
9,etab_id_collecte,ID textuel de l'établissement,xsd:string,string
10,prof_genre,Genre du professeur,xsd:string,string
11,prof_nom,NOM et Prénom,xsd:string,string
12,prof_presence,Le professeur est-il présent ?,xsd:string,string
13,prof_secteur,Dans quel secteur enseignez-vous?,xsd:string,string
14,prof_secteur_autre,Autre secteur,xsd:string,string
15,prof_tel,Numéro de téléphone/mail,xsd:string,string
16,anciennete_prof,Depuis quelle année enseignez vous?,xsd:string,string
17,etablissement_anciennete,Depuis quelle année enseignez vous dans cet établissement?,xsd:string,string
18,employe_position,Catégorie de l'employé(e),xsd:string,string
19,employe_position_autre,Autre catégorie de l'employé,xsd:string,string
20,contrat_type,Type de contrat,xsd:string,string
21,contract_type_autre,Autre type de contrat,xsd:string,string
22,diplome_academique,Nom du diplôme académique,xsd:string,string
23,diplome_professionel,Nom du diplôme professionnel,xsd:string,string
24,diplome_institution,"Si CFE-ENI, CF-ENS, LPE, quelle institution ?",xsd:string,string
25,matiere,Matière(s) enseignées,xsd:string,string
26,matiere_autre,Autre matières enseignées,xsd:string,string
27,prof_titulaire,Etes-vous professeur titulaire ?,xsd:string,string
28,classes_nbr,De combien de classes êtes-vous titulaire ?,xsd:int,int
29,prof_fonction_autre,Avez-vous une autre fonction ?,xsd:string,string
30,prof_fonction_autre_spec,"Si oui, laquelle ?",xsd:string,string
31,classes_enseigne_nbr,Dans combien de classe enseignez-vous ?,xsd:int,int
32,classe_niveau,Niveau des classes dans lesquelles vous enseignez?,xsd:string,string
33,classe_niveau_autre,Autre niveau des classes dans lesquelles vous enseignez,xsd:string,string
34,technologie,Possédez vous un outil technologique pouvant accéder internet?,xsd:string,string
35,technologie_spec,"si oui, lesquels ?",xsd:string,string
36,technologie_cours,Utilisez vous cette technologie pour enrichir vos cours?,xsd:string,string
37,livre,Est-ce que vous avez des livres pédagogiques disponibles pour les enfants?,xsd:string,string
38,livre_secu,"Si oui, peuvent-ils être mis sous clé?",xsd:string,string
39,materiel_autre,Autre matériel pédagogique?,xsd:string,string
40,materiel_autre_spec,"Si oui, lequel?",xsd:string,string
41,materiel_autre_secu,"Si oui, peut-il être mis sous clé?",xsd:string,string
42,challenges,Problèmes au sein de l'établissement ?,xsd:string,string
43,date_collecte,Date de la collecte,xsd:string,string
44,date_mise_a_jour_collecte,Date de la mise à jour,xsd:string,string
45,geometry,Géométrie,gml:Point,Point
